0,Thor: Love and Thunder,Action,Adventure,Comedy
1,Stranger Things,Drama,Fantasy,Horror
2,The Boys,Action,Crime,Drama
3,Resident Evil,Action,Horror,Sci-Fi
4,The Umbrella Academy,Action,Adventure,Comedy
5,Ms. Marvel,Action,Adventure,Comedy
6,Westworld,Drama,Mystery,Sci-Fi
7,Jurassic World Dominion,Action,Adventure,Sci-Fi
8,Minions: The Rise of Gru,Animation,Adventure,Comedy
9,Doctor Strange in the Multiverse of Madness,Action,Adventure,Fantasy
10,Everything Everywhere All at Once,Action,Adventure,Comedy
11,Star Trek: Strange New Worlds,Action,Adventure,Sci-Fi
12,The Orville,Adventure,Comedy,Drama
13,Obi-Wan Kenobi,Action,Adventure,Sci-Fi
14,Severance,Drama,Mystery,Sci-Fi
15,Manifest,Drama,Mystery,Sci-Fi
16,Lightyear,Animation,Action,Adventure
17,Thor: Ragnarok,Action,Adventure,Comedy
19,Nope,Horror,Mystery,Sci-Fi
20,Spider-Man: No Way Home,Action,Adventure,Fantasy
21,The Sandman,Drama,Fantasy,Horror
22,The Munsters,Comedy,Family,Fantasy
23,Spiderhead,Action,Crime,Drama
25,Black Mirror,Drama,Mystery,Sci-Fi
26,The Flash,Action,Adventure,Drama
27,The Mandalorian,Action,Adventure,Fantasy
28,Rocketry: The Nambi Effect,Action,Biography,Drama
29,American Horror Story,Drama,Horror,Sci-Fi
30,"Love, Death & Robots",Animation,Short,Action
32,Doctor Who,Adventure,Drama,Sci-Fi
33,Resident Evil: Welcome to Raccoon City,Action,Horror,Sci-Fi
34,Solar Opposites,Animation,Comedy,Sci-Fi
35,Crimes of the Future,Drama,Horror,Sci-Fi
36,Lost,Adventure,Drama,Fantasy
37,Jurassic Park,Action,Adventure,Sci-Fi
38,Rick and Morty,Animation,Adventure,Comedy
39,Morbius,Action,Adventure,Horror
40,The Marvels,Action,Adventure,Fantasy
41,The Undeclared War,Drama,Sci-Fi,Thriller
42,Avengers: Endgame,Action,Adventure,Drama
43,Dune: Part One,Action,Adventure,Drama
44,Halo,Action,Adventure,Sci-Fi
45,Eternals,Action,Adventure,Fantasy
46,The X Files,Crime,Drama,Mystery
47,Dark,Crime,Drama,Mystery
48,Star Trek: Discovery,Action,Adventure,Drama
49,Ghostbusters: Afterlife,Adventure,Comedy,Fantasy
